treatment,replicate,individual,n_points,span_hours,max_gap_hours,coverage,rhythm_type,is_rhythmic,n_sig_peaks,peak_at_edge,arrhythmic_reason,peak_period,peak_power,p_value,fap_level,peak_threshold,secondary_period,secondary_power,amplitude,mesor,cosinor_r2,phase_fraction,acrophase_zt
LD-diet,rep3,1,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,21.107692307692307,0.02146564069408468,3.0075109237038155e-26,0.001910270491432793,0.0023878381142909914,,,0.2848615357447488,0.6722399657463264,0.019662829078536337,0.9305387845141484,19.64152634389864
LD-diet,rep3,3,4260,70.98333333333333,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,20.0,0.028252079242091634,9.488681832080507e-26,0.0024379286647792002,0.003047410830974,,,0.5564549782206599,2.157182106130097,0.02908051412896351,0.14291831808365182,2.8583663616730366
LD-diet,rep3,5,4740,78.98333333333333,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,28.0,0.02226921085004172,2.1328023769780407e-22,0.0022443814887224095,0.002805476860903012,,,0.6002368373377551,1.6500190778973371,0.031556870159709205,0.22766539493277121,6.374631058117594
LD-diet,rep3,6,5759,95.98333333333332,0.03333333333333144,0.9998263888888322,Simple,True,1,False,,26.69260700389105,0.03026052752168092,1.8749203684519213e-37,0.0019105817274795382,0.0023882271593494227,,,0.48470063453685186,1.3644594532302343,0.02877118598716233,0.9549260236686742,1.4894650675762833
LD-diet,rep4,1,4500,74.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,20.235988200589972,0.04096937582864449,5.3572052530557296e-40,0.0023251271783914264,0.002906408972989283,,,0.4086213097043433,0.773291269650796,0.037378872345216974,0.5276040237413239,10.67658879901322
LD-diet,rep4,2,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,27.114624505928855,0.02058864481104313,3.8822389267085695e-25,0.001910270491432793,0.0023878381142909914,,,0.522993992815041,2.2487106256120173,0.01886320510411843,0.9328595848721284,1.2941373605644308
LD-diet,rep4,3,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,True,,20.851063829787233,0.007824589200872534,3.7139755635202004e-09,0.001910270491432793,0.0023878381142909914,,,0.3519413421385732,2.4103422504697596,0.007890886629301375,0.9984840764751934,20.819455211610414
LD-diet,rep4,4,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Arrhythmic,False,0,True,boundary,28.0,0.16488245377669877,6.688554618427722e-224,0.001910270491432793,0.0023878381142909914,,,1.2401198918730805,2.131883457314079,0.11707597156405647,0.01790547949082835,0.5013534257431937
LD-diet,rep4,5,5340,88.98333333333332,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,25.50185873605948,0.13908766671774236,2.5777090586338762e-172,0.0020238621019968914,0.002529827627496114,,,1.6184911551327985,3.2347349245426247,0.1392114706210993,0.09196463771239646,2.345269199654423
LD-diet,rep4,6,5760,95.98333333333332,0.01666666666667993,0.9999999999999433,Arrhythmic,False,0,True,boundary,28.0,0.05646512235013502,1.4434317273648737e-71,0.001910270491432793,0.0023878381142909914,,,0.3949108793160859,0.7015024026828335,0.04666851608277378,0.02124621204605797,0.5948939372896231
LD-diet,rep5,1,3660,60.98333333333334,0.01666666666667993,0.999999999999943,Arrhythmic,False,0,True,boundary,20.0,0.14700125542224235,3.0227663504355155e-125,0.002747153106156116,0.003433941382695145,,,1.189414111126097,1.843345266829268,0.14022299399073468,0.8166386661239642,16.332773322479284
LD-diet,rep5,5,4920,81.98333333333333,0.01666666666667993,0.999999999999943,Arrhythmic,False,0,True,boundary,28.0,0.07928446171609273,3.9646938468173423e-87,0.0021728599212402382,0.0027160749015502977,,,1.1292615409748825,3.0410994760842516,0.061688895890441575,0.6852999233723898,19.188397854426913
LD-diet,rep5,6,5760,95.98333333333335,0.01666666666667993,0.999999999999943,Simple,True,1,False,,23.57388316151203,0.05439628263118268,7.744824739865645e-69,0.0019102704914328256,0.002387838114291032,,,0.8404516329744716,1.7103329427065301,0.06677889386613256,0.37191105095185334,8.767387661614137
LD-diet,rep6,1,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.94314381270903,0.08256874199533958,1.4925150624324355e-106,0.0019102704914328013,0.0023878381142910018,,,0.9514363623931804,1.38566754681008,0.08443245183401238,0.3949008418918229,9.060266807283964
LD-diet,rep6,2,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,21.107692307692307,0.05315298530092748,3.360354754632771e-67,0.0019102704914328013,0.0023878381142910018,,,0.8893441684219721,1.7962673087098517,0.04135794161017581,0.4742952664838052,10.011278547935088
LD-diet,rep6,4,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,23.737024221453286,0.05776962535061904,2.7227466988479386e-73,0.0019102704914328013,0.0023878381142910018,,,0.5745683843272077,2.280845355249232,0.016338238853877196,0.22859001678447494,5.426046765195495
LD-diet,rep6,5,5758,95.98333333333333,0.03333333333333499,0.999652777777721,Simple,True,1,False,,23.41296928327645,0.11843282662850856,2.9129415917798564e-156,0.0019108952186018724,0.0023886190232523404,,,1.1358126810787905,1.579433770312548,0.12263633213219194,0.32906665801361445,7.704427556223192
LD-diet,rep7,1,4740,78.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,23.097643097643097,0.013045480263883458,7.473100534241611e-13,0.0022443814887223687,0.002805476860902961,,,0.48408928802611356,3.501194593478636,0.013074953266108413,0.8773383150005672,20.264447275770678
LD-diet,rep7,3,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,True,,23.57388316151203,0.032583748520918936,1.9235188332024446e-40,0.0019102704914327516,0.0023878381142909393,,,0.49788634308185675,1.256193496922749,0.03862062553030299,0.38177672182735084,8.999959834143048
LD-diet,rep7,4,3840,63.98333333333333,0.01666666666667993,0.9999999999999433,Simple,True,1,False,,25.692883895131086,0.036043214157792436,7.655886025811704e-30,0.002667451940710192,0.00333431492588774,,,0.7994974692604986,3.2655093858691293,0.0363102352210638,0.026004654399359343,0.6681345662157494
LD-diet,rep7,5,5580,92.98333333333333,0.01666666666667993,0.9999999999999432,Arrhythmic,False,0,True,boundary,28.0,0.14638566653000964,2.245289080439575e-190,0.0019638122128171967,0.002454765266021496,,,1.0290761299144027,2.5669961649483644,0.07321894850835708,0.8350476601594945,23.381334484465846
LD-diet,rep7,6,4980,82.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,21.777777777777775,0.02122340568096162,2.1152862332703936e-22,0.0021501137017893974,0.002687642127236747,,,0.13696073234750517,1.3861531079522866,0.0026134338192184137,0.6261872108783733,13.636965925795684
LD-diet,rep8,1,3660,60.983333333333334,0.01666666666667993,0.999999999999943,Simple,True,1,False,,21.370716510903428,0.044966613963828596,8.522787585810102e-36,0.0027471531061561243,0.0034339413826951553,,,0.32334037776451857,0.9313439216603341,0.03263847396738351,0.5094724716790372,10.88779176236198
LD-diet,rep8,3,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.790697674418606,0.06448716971187393,3.2776540657728976e-82,0.001910270491432776,0.0023878381142909697,,,1.0344805576744638,2.6860347547053482,0.0629522911752528,0.38520124260037747,8.77900506391558
LD-diet,rep8,4,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,22.200647249190936,0.08772016442614274,1.408830670631883e-113,0.001910270491432776,0.0023878381142909697,,,0.9948219516206752,1.9630302150708172,0.08862372007450037,0.49870648661699346,11.071606790267232
LD-diet,rep8,5,5760,95.98333333333333,0.01666666666667993,0.9999999999999432,Simple,True,1,False,,23.097643097643097,0.13151214071887046,5.613147850980898e-175,0.001910270491432776,0.0023878381142909697,,,1.3068541255977397,2.3127789110659633,0.13154167195650246,0.3044783188374387,7.03273153947754
